order_number,order_line_number,customer_key,product_key,order_date,ship_date,location_key,payment_type,payment_provider,shipping_type,carrier,quantity,unit_price,unit_cost,discount_amount,tax_amount,shipping_cost,line_total,line_profit,order_total,order_status
ORD-00001032,1,CUST-000107,PROD-000401,2024-07-05,2024-07-07,LOC-0030,Credit Card,Mastercard,Standard,USPS,5,506.62,250.33,0.0,202.65,13.58,2533.1,1281.45,2749.33,Shipped
ORD-00001033,1,CUST-000576,PROD-000467,2024-10-05,2024-10-06,LOC-0011,Credit Card,Mastercard,Standard,UPS,3,286.38,157.14,93.15,61.28,9.42,765.99,294.57,836.69,Delivered
ORD-00001034,1,CUST-000751,PROD-000420,2025-02-20,,LOC-0010,Digital Wallet,PayPal,Express,FedEx,2,603.68,283.74,109.12,87.86,14.7,1098.24,530.76,1200.8,Processing
ORD-00001034,2,CUST-000751,PROD-000004,2025-02-20,,LOC-0010,Digital Wallet,PayPal,Express,FedEx,2,332.96,148.53,0.0,53.27,0.0,665.92,368.86,1919.99,Processing
ORD-00001035,1,CUST-000294,PROD-000387,2024-12-09,2024-12-10,LOC-0018,Digital Wallet,PayPal,Overnight,UPS,4,136.15,102.64,0.0,43.57,11.65,544.6,134.04,599.82,Delivered
ORD-00001036,1,CUST-000772,PROD-000471,2024-05-24,2024-05-25,LOC-0009,Digital Wallet,Apple Pay,Express,UPS,4,286.5,146.11,0.0,91.68,14.52,1146.0,561.56,1252.2,Delivered
ORD-00001037,1,CUST-000699,PROD-000368,2023-12-14,2023-12-15,LOC-0029,Credit Card,American Express,Standard,USPS,5,591.68,370.73,0.0,236.67,5.85,2958.4,1104.75,3200.92,Delivered
ORD-00001038,1,CUST-000791,PROD-000473,2024-06-23,2024-06-24,LOC-0026,Credit Card,Visa,Overnight,UPS,2,392.88,188.08,0.0,62.86,5.58,785.76,409.6,854.2,Delivered
ORD-00001039,1,CUST-000731,PROD-000454,2024-01-09,2024-01-12,LOC-0019,Digital Wallet,Apple Pay,Express,UPS,5,628.77,456.09,0.0,251.51,12.22,3143.85,863.4,3407.58,Shipped
ORD-00001040,1,CUST-000353,PROD-000207,2025-01-25,2025-01-27,LOC-0034,Credit Card,American Express,Overnight,UPS,4,414.57,181.36,0.0,132.66,13.88,1658.28,932.84,1804.82,Delivered
ORD-00001041,1,CUST-000634,PROD-000452,2025-01-23,2025-01-26,LOC-0023,Digital Wallet,Apple Pay,Standard,UPS,3,54.93,23.18,25.95,11.11,8.9,138.84,69.3,158.85,Delivered
ORD-00001041,2,CUST-000634,PROD-000451,2025-01-23,2025-01-26,LOC-0023,Digital Wallet,Apple Pay,Standard,UPS,2,80.54,40.1,0.0,12.89,0.0,161.08,80.88,332.82,Delivered
ORD-00001042,1,CUST-000219,PROD-000082,2025-09-14,2025-09-17,LOC-0020,Digital Wallet,PayPal,Overnight,UPS,1,174.25,88.02,36.47,11.02,10.93,137.78,49.76,159.73,Delivered
ORD-00001043,1,CUST-000793,PROD-000031,2024-08-09,2024-08-11,LOC-0033,Credit Card,Mastercard,Overnight,UPS,3,814.11,332.64,0.0,195.39,10.07,2442.33,1444.41,2647.79,Delivered
ORD-00001044,1,CUST-000775,PROD-000378,2023-11-09,2023-11-10,LOC-0029,Debit Card,Mastercard,Overnight,FedEx,1,386.41,189.14,0.0,30.91,14.83,386.41,197.27,432.15,Delivered
ORD-00001044,2,CUST-000775,PROD-000298,2023-11-09,2023-11-10,LOC-0029,Debit Card,Mastercard,Overnight,FedEx,5,1068.58,463.0,0.0,427.43,0.0,5342.9,3027.9,6202.48,Delivered
ORD-00001044,3,CUST-000775,PROD-000341,2023-11-09,2023-11-10,LOC-0029,Debit Card,Mastercard,Overnight,FedEx,5,1003.07,407.77,0.0,401.23,0.0,5015.35,2976.5,11619.06,Delivered
ORD-00001045,1,CUST-000307,PROD-000194,2024-09-27,2024-09-30,LOC-0037,Credit Card,American Express,Overnight,UPS,5,575.19,289.63,0.0,230.08,6.05,2875.95,1427.8,3112.08,Delivered
ORD-00001046,1,CUST-000198,PROD-000365,2024-03-06,2024-03-08,LOC-0030,Credit Card,Mastercard,Standard,UPS,4,57.42,39.23,0.0,18.37,5.82,229.68,72.76,253.87,Shipped
ORD-00001047,1,CUST-000910,PROD-000347,2024-12-16,2024-12-17,LOC-0029,Credit Card,Mastercard,Express,FedEx,5,1038.58,491.27,0.0,415.43,10.59,5192.9,2736.55,5618.92,Delivered
ORD-00001047,2,CUST-000910,PROD-000447,2024-12-16,2024-12-17,LOC-0029,Credit Card,Mastercard,Express,FedEx,3,304.7,226.85,0.0,73.13,0.0,914.1,233.55,6606.15,Delivered
ORD-00001048,1,CUST-000451,PROD-000259,2025-08-09,2025-08-11,LOC-0027,Credit Card,American Express,Standard,UPS,2,332.74,148.0,0.0,53.24,9.58,665.48,369.48,728.3,Delivered
ORD-00001048,2,CUST-000451,PROD-000263,2025-08-09,2025-08-11,LOC-0027,Credit Card,American Express,Standard,UPS,5,860.7,373.87,398.2,312.42,0.0,3905.3,2035.95,4946.02,Delivered
ORD-00001049,1,CUST-000765,PROD-000437,2024-04-19,2024-04-22,LOC-0024,Credit Card,Mastercard,Overnight,FedEx,4,357.85,250.91,177.38,100.32,7.9,1254.02,250.38,1362.24,Delivered
ORD-00001050,1,CUST-000121,PROD-000015,2024-09-01,2024-09-03,LOC-0020,Debit Card,Mastercard,Express,UPS,2,173.5,98.82,58.27,23.1,5.49,288.73,91.09,317.32,Delivered
ORD-00001050,2,CUST-000121,PROD-000456,2024-09-01,2024-09-03,LOC-0020,Debit Card,Mastercard,Express,UPS,3,740.18,298.11,0.0,177.64,0.0,2220.54,1326.21,2715.5,Delivered
ORD-00001050,3,CUST-000121,PROD-000251,2024-09-01,2024-09-03,LOC-0020,Debit Card,Mastercard,Express,UPS,1,272.93,156.65,32.68,19.22,0.0,240.25,83.6,2974.97,Delivered
ORD-00001050,4,CUST-000121,PROD-000214,2024-09-01,2024-09-03,LOC-0020,Debit Card,Mastercard,Express,UPS,4,792.18,457.31,0.0,253.5,0.0,3168.72,1339.48,6397.19,Delivered
ORD-00001051,1,CUST-000922,PROD-000259,2025-09-27,2025-09-29,LOC-0031,Credit Card,American Express,Standard,UPS,4,332.74,148.0,0.0,106.48,11.67,1330.96,738.96,1449.11,Delivered
ORD-00001052,1,CUST-000746,PROD-000120,2025-01-22,2025-01-25,LOC-0040,Digital Wallet,Apple Pay,Express,UPS,4,855.49,387.28,0.0,273.76,5.46,3421.96,1872.84,3701.18,Delivered
ORD-00001053,1,CUST-000454,PROD-000013,2024-01-27,2024-01-30,LOC-0006,Credit Card,American Express,Overnight,UPS,5,512.02,216.65,0.0,204.81,12.72,2560.1,1476.85,2777.63,Shipped
ORD-00001054,1,CUST-000661,PROD-000278,2025-08-25,2025-08-28,LOC-0006,Debit Card,Visa,Overnight,FedEx,5,84.47,61.9,0.0,33.79,14.57,422.35,112.85,470.71,Delivered
ORD-00001055,1,CUST-000769,PROD-000141,2024-12-17,2024-12-18,LOC-0008,Credit Card,American Express,Standard,USPS,2,323.77,169.29,0.0,51.8,12.06,647.54,308.96,711.4,Delivered
ORD-00001055,2,CUST-000769,PROD-000228,2024-12-17,2024-12-18,LOC-0008,Credit Card,American Express,Standard,USPS,1,31.79,22.78,0.0,2.54,0.0,31.79,9.01,745.73,Delivered
ORD-00001056,1,CUST-000412,PROD-000093,2025-02-18,2025-02-20,LOC-0002,Digital Wallet,PayPal,Express,UPS,4,1001.45,484.93,623.22,270.61,8.82,3382.58,1442.86,3662.01,Delivered
ORD-00001057,1,CUST-000102,PROD-000394,2024-11-28,2024-11-30,LOC-0010,Credit Card,American Express,Express,FedEx,1,392.52,271.49,94.37,23.85,11.79,298.15,26.66,333.79,Delivered
ORD-00001058,1,CUST-000985,PROD-000051,2024-10-20,2024-10-21,LOC-0004,Debit Card,Mastercard,Express,UPS,3,654.8,267.44,449.07,121.23,7.58,1515.33,713.01,1644.14,Delivered
ORD-00001058,2,CUST-000985,PROD-000461,2024-10-20,2024-10-21,LOC-0004,Debit Card,Mastercard,Express,UPS,1,488.43,300.01,47.83,35.25,0.0,440.6,140.59,2119.99,Delivered
ORD-00001059,1,CUST-000243,PROD-000032,2023-11-04,2023-11-07,LOC-0025,Credit Card,Mastercard,Express,FedEx,3,1080.17,468.3,0.0,259.24,9.07,3240.51,1835.61,3508.82,Delivered
ORD-00001060,1,CUST-000418,PROD-000391,2025-04-12,2025-04-13,LOC-0018,Credit Card,Mastercard,Standard,UPS,5,413.57,272.31,0.0,165.43,6.26,2067.85,706.3,2239.54,Delivered
ORD-00001061,1,CUST-000457,PROD-000192,2024-07-22,2024-07-25,LOC-0033,Debit Card,Visa,Standard,UPS,5,907.24,365.89,0.0,362.9,12.82,4536.2,2706.75,4911.92,Delivered
ORD-00001062,1,CUST-000434,PROD-000001,2024-01-21,,LOC-0036,Digital Wallet,Google Pay,Standard,USPS,4,437.15,330.25,0.0,139.89,11.21,1748.6,427.6,1899.7,Cancelled
ORD-00001063,1,CUST-000172,PROD-000195,2024-12-28,2024-12-30,LOC-0018,Debit Card,Mastercard,Overnight,UPS,3,379.47,189.87,0.0,91.07,7.13,1138.41,568.8,1236.61,Delivered
ORD-00001063,2,CUST-000172,PROD-000145,2024-12-28,2024-12-30,LOC-0018,Debit Card,Mastercard,Overnight,UPS,1,46.34,21.32,7.27,3.13,0.0,39.07,17.75,1278.81,Delivered
ORD-00001064,1,CUST-000092,PROD-000108,2025-03-09,2025-03-10,LOC-0009,Debit Card,Mastercard,Express,UPS,5,731.84,333.05,0.0,292.74,13.02,3659.2,1993.95,3964.96,Delivered
ORD-00001064,2,CUST-000092,PROD-000485,2025-03-09,2025-03-10,LOC-0009,Debit Card,Mastercard,Express,UPS,3,521.19,216.96,0.0,125.09,0.0,1563.57,912.69,5653.62,Delivered
ORD-00001064,3,CUST-000092,PROD-000363,2025-03-09,2025-03-10,LOC-0009,Debit Card,Mastercard,Express,UPS,4,657.87,446.34,0.0,210.52,0.0,2631.48,846.12,8495.62,Delivered
ORD-00001065,1,CUST-000330,PROD-000468,2024-04-09,2024-04-11,LOC-0039,Digital Wallet,PayPal,Standard,USPS,2,231.54,140.8,0.0,37.05,5.02,463.08,181.48,505.15,Delivered
ORD-00001066,1,CUST-000924,PROD-000276,2025-06-12,2025-06-13,LOC-0027,Digital Wallet,Google Pay,Express,UPS,1,244.09,166.06,0.0,19.53,11.49,244.09,78.03,275.11,Delivered
ORD-00001067,1,CUST-000032,PROD-000498,2025-02-04,,LOC-0029,Credit Card,Mastercard,Express,FedEx,4,245.66,152.19,0.0,78.61,8.58,982.64,373.88,1069.83,Processing
ORD-00001068,1,CUST-000787,PROD-000480,2025-10-23,2025-10-24,LOC-0008,Digital Wallet,Google Pay,Express,FedEx,2,250.2,127.44,0.0,40.03,7.22,500.4,245.52,547.65,Shipped
ORD-00001069,1,CUST-000288,PROD-000418,2024-08-17,2024-08-20,LOC-0023,Debit Card,Visa,Standard,USPS,5,543.84,413.42,0.0,217.54,13.08,2719.2,652.1,2949.82,Delivered
ORD-00001070,1,CUST-000506,PROD-000464,2025-09-26,,LOC-0003,Debit Card,Mastercard,Express,UPS,5,906.87,441.64,0.0,362.75,6.96,4534.35,2326.15,4904.06,Cancelled
ORD-00001070,2,CUST-000506,PROD-000203,2025-09-26,,LOC-0003,Debit Card,Mastercard,Express,UPS,1,373.89,205.28,0.0,29.91,0.0,373.89,168.61,5307.86,Cancelled
ORD-00001071,1,CUST-000506,PROD-000302,2025-07-07,2025-07-08,LOC-0037,Credit Card,American Express,Standard,USPS,2,679.08,293.19,0.0,108.65,6.27,1358.16,771.78,1473.08,Delivered
ORD-00001071,2,CUST-000506,PROD-000439,2025-07-07,2025-07-08,LOC-0037,Credit Card,American Express,Standard,USPS,2,750.45,301.53,0.0,120.07,0.0,1500.9,897.84,3094.05,Delivered
ORD-00001071,3,CUST-000506,PROD-000141,2025-07-07,2025-07-08,LOC-0037,Credit Card,American Express,Standard,USPS,2,323.77,169.29,0.0,51.8,0.0,647.54,308.96,3793.39,Delivered
ORD-00001072,1,CUST-000994,PROD-000287,2025-09-13,2025-09-16,LOC-0040,Debit Card,Mastercard,Overnight,UPS,4,402.86,176.95,218.23,111.46,11.73,1393.21,685.41,1516.4,Delivered
ORD-00001073,1,CUST-000875,PROD-000063,2025-11-03,,LOC-0028,Digital Wallet,Apple Pay,Express,FedEx,5,761.88,380.42,0.0,304.75,8.61,3809.4,1907.3,4122.76,Processing
ORD-00001073,2,CUST-000875,PROD-000453,2025-11-03,,LOC-0028,Digital Wallet,Apple Pay,Express,FedEx,2,289.76,211.85,135.42,35.53,0.0,444.1,20.4,4602.39,Processing
ORD-00001074,1,CUST-000324,PROD-000414,2024-10-18,2024-10-19,LOC-0022,Credit Card,Mastercard,Overnight,FedEx,1,392.27,166.64,0.0,31.38,7.26,392.27,225.63,430.91,Delivered
ORD-00001075,1,CUST-000981,PROD-000160,2025-05-20,2025-05-21,LOC-0013,Credit Card,American Express,Express,FedEx,1,643.59,485.16,0.0,51.49,5.97,643.59,158.43,701.05,Delivered
ORD-00001076,1,CUST-000828,PROD-000056,2025-05-21,2025-05-24,LOC-0022,Debit Card,Mastercard,Standard,UPS,4,742.98,387.54,0.0,237.75,8.41,2971.92,1421.76,3218.08,Delivered
ORD-00001077,1,CUST-000342,PROD-000321,2025-06-17,2025-06-18,LOC-0005,Digital Wallet,Google Pay,Standard,USPS,4,832.4,496.68,0.0,266.37,5.86,3329.6,1342.88,3601.83,Delivered
ORD-00001078,1,CUST-000035,PROD-000471,2025-06-21,2025-06-24,LOC-0005,Credit Card,American Express,Standard,USPS,4,286.5,146.11,197.28,75.9,9.32,948.72,364.28,1033.94,Delivered
ORD-00001079,1,CUST-000058,PROD-000317,2024-01-10,2024-01-12,LOC-0025,Digital Wallet,Apple Pay,Standard,USPS,4,268.58,138.69,0.0,85.95,11.0,1074.32,519.56,1171.27,Delivered
ORD-00001080,1,CUST-000011,PROD-000334,2025-10-21,2025-10-23,LOC-0028,Credit Card,Mastercard,Express,FedEx,1,564.75,408.02,0.0,45.18,8.28,564.75,156.73,618.21,Delivered
ORD-00001081,1,CUST-000106,PROD-000065,2025-05-25,2025-05-28,LOC-0005,Debit Card,Visa,Overnight,FedEx,5,135.43,86.6,0.0,54.17,9.21,677.15,244.15,740.53,Delivered
ORD-00001081,2,CUST-000106,PROD-000228,2025-05-25,2025-05-28,LOC-0005,Debit Card,Visa,Overnight,FedEx,2,31.79,22.78,0.0,5.09,0.0,63.58,18.02,809.2,Delivered
ORD-00001081,3,CUST-000106,PROD-000031,2025-05-25,2025-05-28,LOC-0005,Debit Card,Visa,Overnight,FedEx,2,814.11,332.64,0.0,130.26,0.0,1628.22,962.94,2567.68,Delivered
ORD-00001082,1,CUST-000983,PROD-000241,2023-12-23,2023-12-25,LOC-0020,Credit Card,American Express,Standard,UPS,3,111.3,51.8,0.0,26.71,7.91,333.9,178.5,368.52,Delivered
ORD-00001082,2,CUST-000983,PROD-000266,2023-12-23,2023-12-25,LOC-0020,Credit Card,American Express,Standard,UPS,5,656.87,393.35,0.0,262.75,0.0,3284.35,1317.6,3915.62,Delivered
ORD-00001083,1,CUST-000244,PROD-000101,2024-08-24,2024-08-27,LOC-0004,Digital Wallet,Apple Pay,Express,FedEx,2,653.9,298.63,0.0,104.62,7.01,1307.8,710.54,1419.43,Delivered
ORD-00001084,1,CUST-000194,PROD-000290,2024-08-27,2024-08-30,LOC-0030,Digital Wallet,PayPal,Overnight,FedEx,3,144.08,63.28,0.0,34.58,9.19,432.24,242.4,476.01,Delivered
ORD-00001085,1,CUST-000466,PROD-000472,2025-04-21,,LOC-0003,Digital Wallet,Google Pay,Standard,UPS,1,753.32,449.29,0.0,60.27,11.93,753.32,304.03,825.52,Processing
ORD-00001086,1,CUST-000219,PROD-000205,2025-04-23,2025-04-26,LOC-0022,Digital Wallet,Apple Pay,Standard,UPS,2,468.32,220.73,0.0,74.93,5.07,936.64,495.18,1016.64,Delivered
ORD-00001087,1,CUST-000367,PROD-000100,2025-07-17,2025-07-18,LOC-0010,Debit Card,Mastercard,Express,UPS,5,60.55,31.28,0.0,24.22,8.6,302.75,146.35,335.57,Delivered
ORD-00001087,2,CUST-000367,PROD-000102,2025-07-17,2025-07-18,LOC-0010,Debit Card,Mastercard,Express,UPS,2,288.86,123.93,0.0,46.22,0.0,577.72,329.86,959.51,Delivered
ORD-00001088,1,CUST-000269,PROD-000101,2024-08-30,2024-09-01,LOC-0036,Debit Card,Visa,Standard,UPS,1,653.9,298.63,66.93,46.96,6.01,586.97,288.34,639.94,Shipped
ORD-00001088,2,CUST-000269,PROD-000071,2024-08-30,2024-09-01,LOC-0036,Debit Card,Visa,Standard,UPS,4,213.11,106.73,0.0,68.2,0.0,852.44,425.52,1560.58,Shipped
ORD-00001088,3,CUST-000269,PROD-000174,2024-08-30,2024-09-01,LOC-0036,Debit Card,Visa,Standard,UPS,2,702.11,356.25,0.0,112.34,0.0,1404.22,691.72,3077.14,Shipped
ORD-00001089,1,CUST-000829,PROD-000034,2024-08-25,2024-08-26,LOC-0034,Digital Wallet,Apple Pay,Overnight,UPS,1,1175.46,489.96,276.03,71.95,12.95,899.43,409.47,984.33,Delivered
ORD-00001090,1,CUST-000388,PROD-000126,2024-04-22,2024-04-24,LOC-0039,Digital Wallet,Apple Pay,Overnight,UPS,1,972.93,460.89,0.0,77.83,10.87,972.93,512.04,1061.63,Delivered
ORD-00001090,2,CUST-000388,PROD-000151,2024-04-22,2024-04-24,LOC-0039,Digital Wallet,Apple Pay,Overnight,UPS,2,886.92,376.97,0.0,141.91,0.0,1773.84,1019.9,2977.38,Delivered
ORD-00001091,1,CUST-000815,PROD-000373,2024-04-17,2024-04-18,LOC-0033,Digital Wallet,Google Pay,Standard,UPS,1,165.27,89.28,0.0,13.22,12.91,165.27,75.99,191.4,Delivered
ORD-00001092,1,CUST-000172,PROD-000266,2024-12-18,2024-12-21,LOC-0033,Digital Wallet,PayPal,Express,UPS,4,656.87,393.35,505.78,169.74,10.25,2121.7,548.3,2301.69,Delivered
ORD-00001093,1,CUST-000979,PROD-000472,2024-04-04,2024-04-06,LOC-0038,Digital Wallet,Apple Pay,Overnight,UPS,5,753.32,449.29,0.0,301.33,7.07,3766.6,1520.15,4075.0,Delivered
